symbol,address,decimal,chain_id,type,dex_fee
TransitSwapRouterV4,0x92e929d8b2c8430bcaf4cd87654789578bb2b786,18,1,tr,0
TransitSwapRouterV4,0xb45A2DDA996C32E93B8c47098E90Ed0E7ab18E39,18,1,tr,0
TransitSwapRouterV4,0xb45A2DDA996C32E93B8c47098E90Ed0E7ab18E39,18,56,tr,0
TransitSwapRouterV4,TKqQ7zuL7yKp1NWuhGpoXTDiE3j2qiAbRE,18,95500,tr,0
OpenOceanExchangeV2,0x6352a56caadC4F1E25CD6c75970Fa768A3304e64,18,1,oo,30
OpenOceanExchangeV2,0x6352a56caadC4F1E25CD6c75970Fa768A3304e64,18,56,oo,30
MetaRouter,0xE75C7E85FE6ADd07077467064aD15847E6ba9877,18,1,sb,30
MetaRouter,0x81aB74A9f9d7457fF47dfD102e78A340cF72EC39,18,56,sb,30
ContractAddress,0xd3F98c243374D79Bfd9a8ac03964623221D53F0f,18,97,sb,30
ContractAddress,0x5302358dCFbF2881e5b5E537316786d8Ea242008,18,5,sb,30
TransparentUpgradeableProxy,0x9f81fAcae42a7312f49A3E27098fC4d39e2c550d,18,5,sb,30
TransparentUpgradeableProxy,0xB299eee0Ed46b7a34C01F2a01fc83a0B45aA88AF,18,97,sb,30
TransparentUpgradeableProxy,0x5523985926Aa12BA58DC5Ad00DDca99678D7227E,18,1,sb,30
TransparentUpgradeableProxy,0xb8f275fBf7A959F4BCE59999A2EF122A099e81A8,18,56,sb,30
Uniswapv2router02,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,18,1,s,30
