name,address,decimal,symbol,chain_id,coinmarketcap_id,coingecko_id,market_cap,type
Ethereum,0x,18,eth,1,1027,ethereum,null,n
Ethereum,0x,18,eth,5,1027,ethereum,null,n
Tether,0xdAC17F958D2ee523a2206206994597C13D831ec7,6,usdt,1,825,tether,82981594211.0362,t
Dai,0x11fe4b6ae13d2a6055c8d9cf65c55bac32b5d844,18,dai,5,4943,dai,null,t
USD Coin,0x07865c6e87b9f70255377e024ace6630c1eaa37f,6,usdc,5,3408,usd-coin,null,t
BNB,0x,18,bnb,56,1839,binancecoin,null,n
TRON,0x,6,trx,95500,1958,tron,null,n
Tether,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t,6,usdt,95500,825,tether,null,t
TRON,0x,6,trx,95501,1958,tron,null,n
USD Coin,TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8,6,usdc,95501,3408,usd-coin,null,t
Tether,TBAv2jP4JQhn4gWhifvURhPgiYDyVUgjDb,6,usdt,95501,825,tether,null,t
Chains,TEW5br5eYEwZt6V9Ebr668wfXbr7Z9yHVr,18,cha,95501,21041,chains,null,t
Tether USD,0xdac17f958d2ee523a2206206994597c13d831ec7,6,USDT,1,825,tether,82981594211.0362,t
USD Coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,USDC,1,3408,usd-coin,29432070228.2234,t
Lido Staked Ether,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18,stETH,1,8085,staked-ether,12101343775.0435,t
Matic Token,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18,MATIC,1,3890,matic-network,8203260263.5699,t
Binance USD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18,BUSD,1,4687,binance-usd,5460158316.93468,t
Binance USD,0x9a01bf917477dd9f5d715d188618fc8b7350cd22,18,BUSD,97,4687,binance-usd,5460158316.93468,t
SHIBA INU,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18,SHIB,1,5994,shiba-inu,5216079431.67368,t
Dai Stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,18,DAI,1,4943,dai,4848712006.7525,t
HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8,HEX,1,5015,hex,4369496428.74541,t
Wrapped BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,WBTC,1,3717,wrapped-bitcoin,4268905668.06607,t
Chain Link,0x514910771af9ca656af840dff83e8264ecf986ca,18,LINK,1,1975,chainlink,3396924556.37698,t
Uniswap (UNI),0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18,UNI,1,7083,uniswap,2961696429.14052,t
TrueUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18,TUSD,1,2563,true-usd,2071515293.89542,t
Lido DAO Token,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18,LDO,1,8000,lido-dao,1819153802.77308,t
ApeCoin,0x4d224452801aced8b2f0aebe155379bb5d594381,18,APE,1,18876,apecoin,1281194449.3274,t
Quant,0x4a220e6096b25eadb88358cb44068a3248254675,18,QNT,1,3155,quant-network,1250259727.33772,t
Graph Token,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18,GRT,1,6719,the-graph,1091508099.49628,t
Fantom Token,0x4e15361fd6b4bb609fa63c81a2be19d873717870,18,FTM,1,3513,fantom,1023483064.19476,t
Paxos Standard,0x8e870d67f660d95d5be530380d0ec0bd388289e1,18,PAX,1,3330,paxos-standard,1014201835.80009,t
Frax,0x853d955acef822db058eb8505911ed77f175b99e,18,FRAX,1,6952,frax,1006024090.74207,t
Render,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18,RNDR,1,5690,render-token,958718608.63826,t
SAND,0x3845badade8e6dff049820680d1f14bd3903a5d0,18,SAND,1,6210,the-sandbox,957340930.31264,t
BitDAO,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,18,BIT,1,11221,bitdao,953063619.31413,t
Rocket Pool,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,18,RPL,1,2943,rocket-pool,946833311.95022,t
Aave Token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,AAVE,1,7278,aave,943173558.30647,t
Mana,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18,MANA,1,1966,decentraland,908272823.83049,t
Axie Infinity Shard,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,18,AXS,1,6783,axie-infinity,815282609.70537,t
USDD,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,18,USDD,1,19891,usdd,736689198.28299,t
Chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af,18,CHZ,1,4066,chiliz,735390764.9632,t
Curve DAO Token,0xd533a949740bb3306d119cc777fa900ba034cd52,18,CRV,1,6538,curve-dao-token,708513643.73201,t
Immutable X,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,18,IMX,1,10603,immutable-x,686930036.20457,t
Synthetix Network Token,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18,SNX,1,2586,havven,640482108.4921,t
